fips_num,fips_str,incidents,killed,injured
5119,5119,562,113,344
28049,28049,430,118,293
54033,54033,36,11,10
18177,18177,50,7,20
48409,48409,19,5,4
13051,13051,400,80,281
35001,35001,356,109,127
47165,47165,30,7,9
26121,26121,65,17,39
28087,28087,63,20,32
53011,53011,122,22,35
51730,51730,47,22,29
8077,8077,120,12,15
8055,8055,3,1,1
17113,17113,30,0,8
47189,47189,34,6,15
48141,48141,112,24,47
12001,12001,111,10,33
46103,46103,51,10,15
17019,17019,188,16,56
19057,19057,36,10,14
17091,17091,95,14,40
4013,4013,801,362,397
30031,30031,18,2,3
28083,28083,26,11,12
22105,22105,54,24,13
13115,13115,130,16,23
39095,39095,442,53,310
30043,30043,3,2,0
13095,13095,133,21,53
17043,17043,45,13,11
56025,56025,118,7,7
13067,13067,113,62,48
12021,12021,91,19,14
5045,5045,28,11,12
55059,55059,38,16,21
39153,39153,222,56,105
45075,45075,130,22,56
37021,37021,99,16,43
21235,21235,15,10,8
1081,1081,85,33,38
45087,45087,27,5,9
19153,19153,285,29,124
13021,13021,278,50,180
34007,34007,221,69,64
48459,48459,5,3,2
29175,29175,11,9,2
37161,37161,11,3,7
6075,6075,219,89,161
37027,37027,11,4,2
28011,28011,15,5,12
56021,56021,31,9,11
54011,54011,109,11,60
9003,9003,405,54,163
30111,30111,84,12,22
22045,22045,45,11,24
39025,39025,11,2,4
28045,28045,19,4,8
19163,19163,147,12,49
48441,48441,62,9,26
5033,5033,14,7,2
29027,29027,20,1,4
13077,13077,33,7,20
27163,27163,14,7,7
48453,48453,261,59,85
2020,2020,217,57,100
42077,42077,135,29,57
44003,44003,23,0,3
40031,40031,62,19,34
39013,39013,11,5,5
39113,39113,652,89,289
26055,26055,19,3,3
51790,51790,4,0,3
51143,51143,17,2,7
42073,42073,27,12,11
28077,28077,3,1,0
34019,34019,6,0,1
51650,51650,181,33,121
4019,4019,195,76,99
6087,6087,79,16,27
35049,35049,91,9,10
42131,42131,4,5,0
6085,6085,207,79,83
22111,22111,11,3,3
17163,17163,190,72,68
21117,21117,37,18,24
17115,17115,72,10,39
12117,12117,95,24,42
27047,27047,37,0,1
54039,54039,209,36,88
12023,12023,38,9,20
51740,51740,141,31,97
12033,12033,128,35,59
8101,8101,182,22,41
1001,1001,28,12,9
28043,28043,27,9,10
37093,37093,16,4,7
18017,18017,8,3,3
40135,40135,8,5,0
13295,13295,8,4,2
37167,37167,20,10,7
26077,26077,86,23,39
26021,26021,37,20,19
32510,32510,11,3,5
35055,35055,20,4,4
27095,27095,9,2,0
53035,53035,19,4,9
48061,48061,39,14,14
47065,47065,366,61,278
29051,29051,45,5,11
29019,29019,267,19,69
53027,53027,7,1,1
49047,49047,12,4,7
36119,36119,90,21,56
8069,8069,46,19,14
34035,34035,36,3,18
24043,24043,48,11,16
5031,5031,125,22,34
35013,35013,52,15,19
29139,29139,4,2,1
45015,45015,84,18,33
51107,51107,34,13,8
17037,17037,11,5,6
9009,9009,434,47,196
29047,29047,45,16,28
2180,2180,6,1,2
39057,39057,39,7,9
6081,6081,78,14,31
21113,21113,11,2,4
33009,33009,17,5,1
26145,26145,119,21,80
39133,39133,18,9,4
6083,6083,58,26,25
28113,28113,25,12,18
8031,8031,299,78,130
12061,12061,46,8,15
47125,47125,95,28,49
42129,42129,73,20,30
13225,13225,16,4,9
49049,49049,52,26,11
45047,45047,25,8,14
45083,45083,172,31,61
39085,39085,28,7,8
42043,42043,217,40,106
47119,47119,26,6,14
21015,21015,25,6,9
40145,40145,16,8,3
21203,21203,7,4,1
19167,19167,3,0,1
48439,48439,475,169,177
39037,39037,23,0,10
48157,48157,83,47,30
28163,28163,11,6,4
27109,27109,88,1,12
37097,37097,45,7,19
1091,1091,7,2,3
19095,19095,3,2,0
24045,24045,36,10,14
38017,38017,44,5,1
13271,13271,3,2,2
42075,42075,57,6,16
55023,55023,3,2,0
25021,25021,79,9,16
1125,1125,143,24,96
5093,5093,38,12,18
36115,36115,5,0,2
37049,37049,53,14,24
42049,42049,81,20,42
12111,12111,147,33,48
42081,42081,33,15,12
47075,47075,22,2,15
30013,30013,25,4,7
41033,41033,26,6,12
22051,22051,347,77,188
42111,42111,10,2,0
46123,46123,1,1,0
24019,24019,9,1,4
45041,45041,93,19,56
46029,46029,3,1,1
19111,19111,10,3,5
45059,45059,26,6,15
12097,12097,61,18,30
2130,2130,6,1,0
15009,15009,10,1,5
28085,28085,14,11,7
28081,28081,61,14,29
13245,13245,206,48,96
12113,12113,40,10,8
13185,13185,93,14,57
18157,18157,70,7,22
22085,22085,7,3,0
21047,21047,59,9,12
51087,51087,139,27,56
18119,18119,4,3,0
37165,37165,17,5,14
12087,12087,41,5,4
10001,10001,176,18,56
42041,42041,75,4,15
54079,54079,15,1,7
12101,12101,67,28,30
50011,50011,14,1,1
37159,37159,124,30,46
12109,12109,56,9,20
13029,13029,11,4,2
37179,37179,25,5,8
28151,28151,22,11,16
5091,5091,19,11,16
29149,29149,3,1,0
26015,26015,4,2,1
53053,53053,196,57,63
29023,29023,15,6,5
39129,39129,6,5,1
23005,23005,62,8,15
18167,18167,34,7,18
36055,36055,397,59,270
5067,5067,9,4,3
22019,22019,75,21,36
13151,13151,17,12,9
40087,40087,11,5,2
21121,21121,8,5,4
5037,5037,9,4,5
36087,36087,22,5,2
20115,20115,2,1,0
17049,17049,3,0,1
22099,22099,26,6,15
21193,21193,11,3,2
21071,21071,10,2,4
17177,17177,26,1,11
37013,37013,16,3,10
40041,40041,9,3,7
23011,23011,64,9,10
25001,25001,68,3,15
1085,1085,5,2,2
48491,48491,51,11,13
48291,48291,17,8,5
32031,32031,162,41,60
42069,42069,45,7,6
42133,42133,178,41,88
19113,19113,134,17,45
42091,42091,77,34,35
20169,20169,48,2,8
12019,12019,26,7,16
28099,28099,27,13,6
18181,18181,7,6,1
48085,48085,38,33,16
40069,40069,1,0,1
23025,23025,80,6,3
48299,48299,5,2,1
26025,26025,100,6,42
34039,34039,125,25,75
13255,13255,14,8,5
32023,32023,13,1,3
13237,13237,1,2,0
6025,6025,28,5,10
12053,12053,40,15,12
1069,1069,51,15,27
1095,1095,24,4,9
22121,22121,10,2,5
29097,29097,51,17,9
12085,12085,38,2,17
28007,28007,16,6,12
1003,1003,54,14,14
37001,37001,107,11,54
40119,40119,14,4,6
28035,28035,82,18,34
13071,13071,80,20,36
13217,13217,31,11,10
15001,15001,60,10,14
10005,10005,73,9,18
13059,13059,181,11,37
33015,33015,103,11,9
48355,48355,349,52,103
17083,17083,1,1,1
37151,37151,34,5,17
40147,40147,16,4,3
47081,47081,9,7,4
40027,40027,57,15,14
37107,37107,94,12,55
24021,24021,29,3,12
22073,22073,109,30,51
17063,17063,7,1,2
47047,47047,4,2,1
45023,45023,27,2,16
1013,1013,13,5,7
18091,18091,35,7,10
5143,5143,46,6,23
22055,22055,141,34,69
51137,51137,6,2,2
36069,36069,16,2,6
51510,51510,20,6,15
34031,34031,316,36,168
33013,33013,36,3,3
16001,16001,84,20,19
6097,6097,73,18,27
39147,39147,7,2,4
17001,17001,35,4,11
55139,55139,35,4,10
37071,37071,71,17,24
35039,35039,4,6,2
51770,51770,97,18,64
45025,45025,18,8,11
37183,37183,236,61,109
17111,17111,20,6,9
42013,42013,23,1,3
36007,36007,49,7,7
41067,41067,65,13,19
36015,36015,35,8,12
34005,34005,116,20,42
51111,51111,5,1,4
6057,6057,14,2,7
47001,47001,21,5,6
28093,28093,16,10,8
27137,27137,50,5,17
1083,1083,47,14,19
29213,29213,11,5,3
48375,48375,148,18,52
12115,12115,85,21,30
48309,48309,61,22,28
47003,47003,3,0,1
19103,19103,56,2,9
18029,18029,6,3,1
13247,13247,18,2,6
12005,12005,109,23,37
37139,37139,26,5,12
17165,17165,5,1,4
2070,2070,8,3,0
47115,47115,8,5,2
16019,16019,31,4,6
18037,18037,10,0,5
28161,28161,3,1,3
36027,36027,100,10,25
36063,36063,142,10,39
55039,55039,15,7,5
34023,34023,66,10,32
17097,17097,92,23,34
27007,27007,33,4,3
47147,47147,24,6,10
35009,35009,19,5,7
13223,13223,19,17,2
51630,51630,14,4,2
51013,51013,43,7,2
35025,35025,14,3,9
37127,37127,46,13,27
20091,20091,64,23,24
49001,49001,2,2,0
48423,48423,75,18,31
37181,37181,21,11,10
13297,13297,13,9,3
55117,55117,16,2,4
13127,13127,46,8,17
6009,6009,11,3,1
37051,37051,224,67,150
8035,8035,19,11,2
48497,48497,5,2,1
36025,36025,3,0,0
45017,45017,11,4,5
24013,24013,12,2,3
48091,48091,15,4,5
5131,5131,60,10,19
45065,45065,1,0,1
12003,12003,6,3,4
42063,42063,17,6,5
37011,37011,2,0,0
37035,37035,40,16,16
22103,22103,73,21,35
4007,4007,5,3,0
16083,16083,12,2,3
22015,22015,59,15,18
13033,13033,15,3,12
2122,2122,31,7,5
13073,13073,23,3,6
55133,55133,32,7,6
13219,13219,25,2,3
8005,8005,117,49,38
39021,39021,4,1,1
39087,39087,10,6,4
54055,54055,43,8,15
42089,42089,50,13,19
35035,35035,8,3,4
55113,55113,6,4,2
20161,20161,27,4,11
42017,42017,46,18,9
12133,12133,14,2,4
20181,20181,2,0,1
17179,17179,20,5,5
16027,16027,37,11,8
47031,47031,8,1,4
17161,17161,32,4,18
26125,26125,273,43,113
39063,39063,3,1,1
8059,8059,57,20,26
26005,26005,11,7,3
48209,48209,21,9,7
42107,42107,28,5,11
51089,51089,22,5,9
28089,28089,32,12,17
39007,39007,38,5,9
26117,26117,8,4,0
28051,28051,19,9,6
28059,28059,61,15,28
29155,29155,4,1,3
21013,21013,8,3,1
48363,48363,2,0,1
18057,18057,19,4,5
21125,21125,24,8,10
37171,37171,18,9,9
13165,13165,3,2,1
37133,37133,62,18,24
27093,27093,2,0,1
51670,51670,27,5,20
40111,40111,17,8,9
28001,28001,33,12,14
50025,50025,24,6,2
23031,23031,56,14,7
5149,5149,4,1,1
22095,22095,54,14,23
26091,26091,11,3,3
47187,47187,21,6,4
18005,18005,21,9,6
47163,47163,54,9,19
5123,5123,22,8,14
4005,4005,26,11,6
22079,22079,62,15,23
13063,13063,221,49,40
4021,4021,40,27,18
42055,42055,33,5,5
20099,20099,13,2,1
17183,17183,50,13,35
37003,37003,5,3,3
41029,41029,85,11,11
1117,1117,40,8,14
13311,13311,4,1,2
22063,22063,32,14,6
20177,20177,159,35,76
6115,6115,24,9,10
6055,6055,13,7,4
41035,41035,19,6,5
51800,51800,46,7,26
48001,48001,18,6,7
47179,47179,63,15,19
6101,6101,15,7,3
28057,28057,3,2,1
42123,42123,7,5,2
