fips_num,fips_str,incidents,killed,injured
26163,26163,1931,686,1073
2090,2090,243,37,35
12091,12091,200,31,70
12081,12081,294,79,131
17201,17201,837,80,392
12127,12127,462,92,204
53033,53033,1170,247,519
39049,39049,1329,429,887
4013,4013,1522,720,733
36047,36047,1381,364,960
2170,2170,167,30,29
12095,12095,1390,417,849
21145,21145,97,5,21
39035,39035,2020,506,1242
17031,17031,11749,2334,11183
18003,18003,588,138,320
36029,36029,1035,170,585
12086,12086,1366,512,946
24510,24510,3755,992,2311
17113,17113,61,5,21
1087,1087,27,18,12
1073,1073,1429,534,856
1101,1101,493,174,322
48339,48339,131,44,28
48375,48375,255,29,94
48029,48029,1596,498,1000
18089,18089,796,257,479
28085,28085,31,28,20
48113,48113,1220,557,599
5119,5119,1075,219,634
6037,6037,3271,1722,1661
49053,49053,36,5,7
48471,48471,35,6,17
18097,18097,1878,592,1116
39095,39095,810,99,602
45019,45019,743,196,340
37119,37119,1286,258,800
22079,22079,114,30,38
37159,37159,226,47,101
29095,29095,1119,425,743
8041,8041,807,134,306
37183,37183,459,115,234
47113,47113,345,47,154
28121,28121,75,19,23
13215,13215,800,102,381
42003,42003,1356,381,870
12011,12011,776,270,361
45029,45029,80,22,72
12103,12103,384,146,178
37071,37071,144,42,49
22015,22015,107,24,45
37157,37157,75,18,49
47065,47065,735,129,562
25017,25017,379,33,94
42101,42101,2851,851,2261
41051,41051,922,103,312
24033,24033,444,263,184
42049,42049,189,36,89
17097,17097,145,39,60
36067,36067,669,78,393
25013,25013,1010,67,316
36081,36081,524,146,293
36085,36085,407,43,145
2020,2020,479,105,189
27047,27047,63,2,5
1047,1047,140,47,107
53063,53063,431,58,103
47187,47187,34,8,8
31055,31055,904,136,520
40143,40143,1262,248,557
42037,42037,21,3,15
53053,53053,421,125,156
51047,51047,15,12,5
21111,21111,1336,372,740
12031,12031,2274,400,1097
25025,25025,1801,175,610
17197,17197,296,76,107
48201,48201,2981,1325,1515
48005,48005,79,14,20
51550,51550,132,39,82
42133,42133,335,78,173
48441,48441,132,22,48
45045,45045,395,112,172
20161,20161,47,5,19
54055,54055,85,17,33
45067,45067,53,16,32
34005,34005,210,36,77
34013,34013,895,372,444
36005,36005,821,218,576
21047,21047,136,17,29
54039,54039,408,61,182
22017,22017,826,143,541
22071,22071,3005,664,1858
6029,6029,769,222,356
6007,6007,203,27,81
6019,6019,1158,208,593
29189,29189,773,286,353
37127,37127,93,20,56
6071,6071,762,310,314
22033,22033,896,359,462
36119,36119,173,45,95
36007,36007,98,10,23
36083,36083,113,6,43
13245,13245,378,87,188
12057,12057,824,212,363
6059,6059,519,175,291
55059,55059,64,21,37
12101,12101,129,37,52
45003,45003,447,59,151
8001,8001,209,80,96
20091,20091,120,33,42
36061,36061,493,93,331
34003,34003,151,32,25
54081,54081,109,19,48
47093,47093,401,96,246
51173,51173,10,4,4
6103,6103,191,22,28
28049,28049,846,251,542
