fips_num,fips_str,incidents,killed,injured
22071,22071,1709,354,1052
36059,36059,156,30,49
45029,45029,45,7,48
12031,12031,1208,227,657
45019,45019,474,108,200
36045,36045,19,3,4
17143,17143,444,13,148
17031,17031,6221,1241,5874
53077,53077,83,33,49
48029,48029,837,264,513
12083,12083,172,45,62
21101,21101,39,3,13
18089,18089,439,149,270
6029,6029,432,123,192
36071,36071,93,14,36
36085,36085,228,25,87
26075,26075,53,10,25
27053,27053,374,88,225
36093,36093,60,13,25
42101,42101,1816,492,1439
28075,28075,227,33,111
32003,32003,721,307,358
29095,29095,598,243,406
45007,45007,140,47,91
53061,53061,113,21,49
34021,34021,463,66,269
39061,39061,791,171,504
25017,25017,188,14,47
26147,26147,12,4,4
12099,12099,669,175,323
48451,48451,38,15,17
8041,8041,405,70,162
29215,29215,6,11,3
6059,6059,273,99,153
2090,2090,116,17,18
25009,25009,218,23,56
25027,25027,281,13,79
25023,25023,271,14,62
18039,18039,61,20,33
48167,48167,77,30,27
48113,48113,631,290,309
48201,48201,1708,720,860
19013,19013,272,13,55
6107,6107,147,53,67
25013,25013,569,45,155
18163,18163,160,16,57
6053,6053,263,70,114
55079,55079,1230,256,864
42071,42071,206,26,68
53033,53033,591,138,266
42003,42003,718,211,446
13215,13215,491,54,210
6067,6067,386,158,250
24003,24003,291,34,72
13139,13139,41,12,20
29135,29135,2,1,0
45031,45031,62,14,33
36029,36029,530,85,288
6073,6073,419,134,170
13089,13089,323,148,181
13015,13015,30,14,12
29510,29510,1115,401,839
26065,26065,125,23,68
6037,6037,1879,1046,968
48257,48257,20,4,12
26159,26159,12,1,4
21059,21059,34,5,17
21111,21111,697,187,329
8123,8123,51,15,16
44007,44007,411,31,169
37081,37081,395,94,197
37191,37191,152,29,57
39023,39023,91,19,56
11001,11001,1842,252,749
20209,20209,113,67,61
42079,42079,204,26,70
33011,33011,193,14,40
47157,47157,1274,331,911
39035,39035,1064,284,615
6023,6023,178,20,43
47149,47149,107,17,40
28019,28019,1,1,1
55097,55097,10,3,3
51059,51059,58,13,23
36103,36103,181,31,90
12071,12071,368,76,138
12089,12089,19,8,5
12086,12086,771,293,557
36081,36081,270,86,163
51810,51810,151,34,97
28109,28109,11,8,2
41047,41047,96,25,33
37119,37119,721,148,399
25025,25025,999,107,332
37085,37085,28,15,18
21029,21029,16,11,1
12127,12127,265,41,116
18097,18097,1080,332,641
6001,6001,1258,213,568
6071,6071,419,168,196
51700,51700,263,58,164
40143,40143,686,160,297
26049,26049,415,83,229
28107,28107,19,12,10
26163,26163,890,381,535
36001,36001,151,16,68
9011,9011,79,5,17
6077,6077,403,113,163
6013,6013,314,109,174
20173,20173,412,63,176
31055,31055,510,80,290
45035,45035,96,34,33
36047,36047,743,194,520
21067,21067,532,43,221
36005,36005,469,126,334
41051,41051,450,62,163
12091,12091,90,14,31
24510,24510,1981,492,1209
36061,36061,262,48,179
39151,39151,149,34,53
22033,22033,541,205,265
1097,1097,377,136,183
19061,19061,27,0,13
6113,6113,15,7,3
27123,27123,168,34,88
17089,17089,135,24,69
21141,21141,5,2,1
20037,20037,12,2,3
53041,53041,19,10,3
34017,34017,408,45,184
34003,34003,103,17,16
34001,34001,248,30,112
45051,45051,385,72,152
56009,56009,2,0,1
37063,37063,288,66,206
39155,39155,93,21,38
46099,46099,150,7,17
42125,42125,51,20,20
18175,18175,6,6,2
42039,42039,10,4,3
12103,12103,232,86,106
12035,12035,60,8,17
13285,13285,127,14,53
6047,6047,156,44,67
35005,35005,42,6,12
51760,51760,468,122,324
29189,29189,433,145,190
12081,12081,173,53,70
6007,6007,122,17,53
6019,6019,635,127,335
6065,6065,444,152,184
12095,12095,800,214,422
51710,51710,324,73,242
12063,12063,29,5,6
12105,12105,131,46,66
48177,48177,1,1,0
56011,56011,1,0,0
56007,56007,3,1,0
40109,40109,469,128,247
26161,26161,141,20,44
17197,17197,166,43,51
2198,2198,10,1,3
33017,33017,98,8,7
18141,18141,190,42,100
53063,53063,226,38,53
1047,1047,85,25,61
5125,5125,40,4,10
6041,6041,22,11,8
6103,6103,91,12,22
6039,6039,27,14,10
21179,21179,17,4,5
55105,55105,88,15,31
39165,39165,31,10,4
13259,13259,1,0,1
21227,21227,45,2,20
25005,25005,213,23,57
42007,42007,26,2,15
17167,17167,202,21,60
34013,34013,540,217,275
18003,18003,358,75,177
35015,35015,41,4,16
42037,42037,13,1,14
45043,45043,37,6,15
10003,10003,688,84,380
48005,48005,43,7,13
17119,17119,103,19,27
48215,48215,66,35,29
19155,19155,42,1,14
1101,1101,313,102,212
28143,28143,7,3,3
13275,13275,24,5,9
51550,51550,67,22,37
9001,9001,495,46,201
29077,29077,210,52,71
42085,42085,14,6,6
2290,2290,9,3,0
47037,47037,806,155,464
17201,17201,417,46,185
39099,39099,156,35,56
36013,36013,70,10,14
1123,1123,24,11,6
17077,17077,66,4,17
24031,24031,53,20,26
13153,13153,66,14,26
51153,51153,99,12,53
12009,12009,149,41,59
36067,36067,391,44,222
22017,22017,453,82,292
1053,1053,12,9,5
17121,17121,17,2,4
39049,39049,772,235,494
37045,37045,39,13,25
49035,49035,322,80,134
36111,36111,70,4,11
18035,18035,36,8,16
45045,45045,221,63,98
6111,6111,165,29,67
37067,37067,211,43,110
28047,28047,170,32,61
12069,12069,109,26,37
39017,39017,130,39,49
12057,12057,502,128,217
24033,24033,251,139,83
45091,45091,279,23,78
47093,47093,241,61,139
55025,55025,372,26,72
24047,24047,12,2,3
38101,38101,47,1,20
12073,12073,147,42,91
39003,39003,18,5,13
42021,42021,41,14,19
45013,45013,299,26,74
26099,26099,109,24,36
48245,48245,102,41,51
23019,23019,52,5,8
51041,51041,108,17,40
9005,9005,23,5,1
45079,45079,354,74,214
37129,37129,296,33,120
